CASE_1	CASE_2	CASE_3	CASE_4	CASE_5	CASE_6	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	width
AKR1D1	0	0	0	0	0	0	0	0	0	0	0	0	115663
NUDT10	1809	4717	901	0	0	0	404	101	202	0	0	0	5295
SFTPA1	0	0	59	0	0	0	0	0	0	0	0	0	4517
NEUROG3	0	0	404	0	0	0	0	0	0	0	0	0	1541
PLAU	10847	35008	26832	0	24	4	30755	26251	8253	28	0	0	8321
SRGN	78814	193634	82752	104	62	41	40454	65744	45642	23	0	73	16706
CHST3	266102	205096	102738	88	0	209	45191	140959	87203	114	0	97	49200
BICC1	46345	98430	50419	97	0	50	17253	31981	14984	23	20	0	318298
CISD1	97957	166457	153880	21	0	71	67856	201205	111142	37	34	0	20529
EGR2	45755	171495	26844	0	0	0	908	1913	808	0	0	0	107905
ECD	29721	46675	55605	49	47	21	22159	42979	26587	0	0	28	38901
P4HA1	144658	290453	107415	21	24	248	72638	119415	58017	57	101	65	89758
SLC25A16	28636	41961	42183	24	22	72	17449	46304	20637	23	0	48	49476
ZWINT	808	808	3025	0	28	0	1413	1713	1022	0	0	0	4048
VPS26A	48306	97079	83491	32	51	108	39461	95251	45220	54	0	0	49350
RBM19	52389	89539	83661	0	0	0	25884	76135	37180	0	89	0	149634
CIT	5729	10729	4990	0	0	31	3241	7540	3408	0	0	0	191502
IFT81	10013	23736	31743	0	46	20	11667	35799	13492	0	23	20	94463
ACADS	102766	121740	151128	31	3	230	66604	154040	90104	21	20	0	14274
HVCN1	10371	15578	28886	0	0	0	12398	20878	14262	27	0	22	77110
DDX54	72050	126546	93730	48	0	50	30178	101943	41223	0	21	31	28306
MED13L	173069	330320	248761	299	235	517	82877	188674	107607	53	240	0	323467
CDKN2C	16736	48037	37638	22	0	21	15899	31537	11502	0	0	32	13889
RNF11	220059	330726	248507	0	23	170	103311	257901	130065	123	45	44	37185
RASSF8	38520	55631	57620	0	0	110	25387	71735	30364	0	0	0	120864
BHLHE41	18763	39621	53290	50	32	46	28563	41432	17877	45	20	80	5102
SSPN	127716	117857	158556	25	50	200	58968	147156	65847	0	45	47	177300
ITPR2	27992	46987	62261	61	91	120	22674	53134	28242	105	210	86	496684
CCDC91	86141	154365	126912	0	0	88	47083	114944	54796	0	0	0	448263
NECAB1	31944	110410	76782	0	16	0	35374	72596	41513	0	40	29	167859
WWP1	176669	364918	339552	32	21	406	201136	431015	238134	64	54	42	135683
ACOT9	164361	228825	182743	4	0	64	54969	187930	88947	0	0	0	64223
PRDX4	34961	44613	41970	0	0	22	23997	35381	26636	59	59	93	22138
DDX39A	39432	60924	35575	20	44	49	18269	47664	22744	25	22	22	10565
PKN1	208242	282336	243930	49	0	171	122716	261395	136237	92	34	0	38815
TRIR	96356	170039	129770	0	0	95	56722	142994	73043	49	0	0	4136
ADGRE5	54628	102066	75765	0	0	24	34400	96433	46437	0	0	0	28225
WDR83	31244	48791	37008	0	0	38	15563	40271	21154	0	0	0	9033
GIPC1	75652	107297	86205	50	0	0	43364	99651	50150	0	0	50	18390
ACTRT1	0	0	0	0	0	0	0	0	0	0	0	0	1437
CCDC70	0	0	0	0	0	0	0	0	0	0	0	0	4252
SPRYD7	28768	41995	48065	23	54	47	18150	54314	29395	0	43	21	23785
EBPL	4769	8243	6544	0	0	0	3031	5345	1747	0	0	0	30753
ATP7B	22139	39699	33996	0	20	0	9797	36911	12288	36	34	0	81690
ZC3H13	142816	213587	236335	20	74	349	87340	202289	114491	0	193	50	98295
NLN	27852	27163	33372	0	0	32	11748	30371	17686	0	24	0	149530
CENPK	346	808	585	0	0	0	200	1148	613	0	0	0	45406
OPTN	231736	482424	473221	48	23	238	230405	559297	320656	24	29	71	38860
ITIH5	61141	149223	163339	0	67	69	47919	94595	44405	20	30	68	107729
ATF1	24577	34783	25248	23	0	22	12316	30424	13883	0	0	0	57413
TSFM	37052	76810	62215	0	28	24	31060	72835	39031	0	24	0	25483
NEUROD4	0	0	0	0	0	0	0	0	0	0	0	0	10070
ARHGAP9	3275	12353	9618	0	0	21	1994	5104	1655	0	0	0	16560
NCKAP1L	9636	18312	21089	22	70	161	12512	17625	11484	78	0	86	50528
MMP19	37243	132197	15922	49	0	0	8325	24628	15934	0	0	0	7534
PFDN5	159350	359321	274413	43	0	75	140133	340350	153575	20	0	97	4160
SPATS2	17429	34501	22610	29	0	29	11123	22841	9224	0	0	0	160841
ORMDL2	21079	33226	20401	0	0	20	10464	28193	13878	0	0	0	3961
NR4A1	643390	690750	1057987	117	0	206	234864	97303	64970	22	0	43	36676
PDE1B	11987	20694	13300	40	20	48	6063	14955	8462	60	60	60	29890
HOXC13	0	0	0	0	0	0	0	0	0	0	0	0	7780
CDK2	16659	43622	22556	0	23	0	10154	28645	11100	0	0	0	6016
LRP1	602362	1023132	972137	381	545	3855	373770	966789	386849	403	357	444	84859
HOXC11	184	0	0	0	0	0	0	0	23	0	0	0	4518
ATG101	22200	47059	34834	0	0	42	15140	30459	14112	0	0	22	8249
NFE2	808	2414	808	0	0	0	578	404	404	0	0	0	9011
HOXC12	202	0	0	0	0	0	0	0	0	0	0	0	4123
IKZF4	23037	60858	45010	0	0	0	14288	46244	15886	0	0	0	30777
SMUG1	14626	27129	22196	0	0	0	7556	24958	12922	57	0	36	67732
TUBA1B	599876	567892	458704	48	49	476	272292	618089	362960	0	169	158	3616
EEF1AKMT3	5312	7654	5581	23	0	94	1438	4540	1166	0	32	0	11050
KBTBD4	24470	49131	49281	24	0	0	16759	49308	20475	0	33	0	6819
SARDH	827	808	3344	0	0	0	401	1257	604	0	0	0	76396
DBH	722	708	316	0	0	0	47	664	386	0	0	0	22985
ATPAF1	348923	533846	491750	105	90	478	206566	493555	304011	0	0	85	41131
STIL	805	1817	2020	0	0	0	1006	1212	1008	0	0	0	64009
HJURP	404	202	404	0	0	0	202	0	0	0	0	0	21151
IL13RA2	0	0	0	0	0	0	0	202	0	0	0	0	16003
COL10A1	600	0	319	0	0	0	404	251	202	0	0	35	39825
AMD1	127772	231341	185506	69	164	388	98022	173155	116079	52	85	128	20944
NDUFAF4	50961	94821	91260	0	0	20	45255	115365	60306	20	0	26	8569
USP45	14971	22618	25491	0	0	57	11674	27466	13776	0	24	45	89350
PLP1	20066	39875	17636	0	0	0	9970	41544	23133	0	0	0	18902
SERPINA7	0	0	0	0	0	0	0	0	0	0	0	0	6297
MORF4L2	221258	364364	285423	0	65	104	113681	301067	167718	0	50	0	12663
H2BFWT	0	0	0	0	0	0	0	0	0	0	0	0	2541
RAB9B	90212	80337	115593	59	0	93	60682	134624	91597	30	0	20	9907
NRK	14302	19503	31606	0	0	45	8842	16395	3808	0	0	0	136068
FAM199X	40195	71520	65524	27	0	24	34226	66050	39331	0	0	65	29283
ESX1	0	0	0	0	0	0	0	0	0	0	0	0	4896
MAGEA9	0	0	0	0	0	0	0	0	0	0	0	0	5808
ATXN3L	0	0	0	0	0	0	0	0	0	0	0	0	2164
RAB9A	28468	48242	41292	0	0	0	15448	36005	18886	0	0	0	21382
METTL8	14993	19332	24904	25	0	40	10290	23496	11498	50	0	26	117398
TTC21B	28812	55608	62281	22	0	73	27105	57305	26714	0	68	0	96369
NMI	4048	10955	8519	40	0	90	5605	5949	2918	41	0	24	19593
TNFAIP6	5741	7447	7939	0	0	21	2020	6463	1414	0	21	0	22457
ACVR1C	6354	2420	202	20	21	104	1211	404	0	0	43	0	102239
BAZ2B	38793	83856	111286	75	0	264	43045	77269	34626	33	49	162	297714
SLC36A1	16017	17992	17462	0	0	39	7660	12496	9445	0	0	0	55336
LPGAT1	76645	111223	131648	36	0	86	46361	113545	68739	0	0	51	87316
BATF3	2236	7689	1778	0	0	0	968	2229	2210	0	0	0	13568
G0S2	31040	60699	102901	66	44	60	134280	143735	28532	21	121	59	969
KCNJ2	29101	97685	126570	61	22	375	70586	114294	38327	15	185	233	11376
RAP2C	46654	84491	71258	92	0	108	34658	83791	42826	0	60	0	16457
EXOSC9	24087	44495	50314	0	0	20	14431	39279	19173	0	0	0	15705
PLA2G12A	55676	91333	140659	0	0	76	61257	101090	65454	24	22	0	20089
B9D2	1628	4640	4306	0	0	0	1742	1402	992	0	0	0	9753
COQ8B	33569	75602	60225	0	0	23	22668	60607	21991	0	33	0	26679
PFKFB2	57087	127764	228671	0	24	150	172096	388933	232373	135	99	123	46659
C4BPA	0	0	163	0	0	0	201	202	277	0	0	0	40711
C4BPB	0	200	0	0	0	0	0	0	0	0	0	0	11152
RAB38	0	604	202	0	0	0	202	404	202	0	0	0	62226
GPR83	686	1211	1108	0	0	0	0	404	303	0	21	25	24109
AGO2	115316	177227	127843	137	274	648	59017	148364	90992	133	47	112	115464
MXD4	183641	282477	138811	177	258	572	61593	192418	80040	297	148	278	14863
CKS2	4036	5479	2969	0	0	0	404	3653	1414	0	0	0	5506
DAW1	505	0	0	0	0	0	0	0	0	0	0	21	53291
ACSL3	89703	178946	186133	23	24	70	72843	153028	79870	31	72	98	83706
CHPF	250684	261272	216731	0	0	149	90280	292050	158027	28	21	0	4841
DNPEP	74622	141926	136774	8	0	149	55901	141131	52444	0	0	34	26477
INHA	2612	2405	2940	0	0	0	936	2905	1977	0	0	0	6552
MOGAT1	104	35	1305	0	0	0	487	1408	198	0	0	0	38145
OBSL1	305362	619737	517109	1	40	276	233078	595315	262219	0	114	0	21131
FAM124B	4538	9905	6960	0	0	0	1771	6665	2419	0	0	0	23388
SLC12A4	210658	354844	283948	96	8	156	111647	318334	136655	0	0	127	26128
ENKD1	14452	26417	21538	0	37	0	9554	22886	8260	0	22	25	4321
MC3R	0	0	0	0	0	0	0	0	0	0	0	0	1084
GCNT7	175	560	938	0	0	0	196	392	298	0	0	0	34434
CTCFL	0	0	0	0	0	0	0	0	0	0	0	0	29687
FAM210B	94519	219884	228382	23	22	105	83857	217234	126580	68	0	0	9749
PI3	0	0	202	0	0	0	0	0	0	0	0	0	1669
FAM209A	21299	38954	30596	0	0	0	12546	29969	16088	0	0	0	8956
SNX21	31908	54247	56489	96	53	20	31935	65885	28309	42	24	67	9466
SLPI	1405	2019	606	0	0	0	202	1210	0	32	0	0	2326
WFDC3	404	990	392	0	0	0	202	0	404	0	0	0	43989
TTPAL	22816	31246	17929	0	0	0	4942	16002	15084	0	36	0	18718
PREX1	70144	129040	58422	46	0	75	20698	60658	41590	0	0	41	203632
KCNS1	606	0	0	0	0	0	0	0	0	0	0	0	8803
SLC12A5	46	404	0	0	0	0	201	256	0	20	0	24	38463
ARHGAP40	13	0	0	0	0	0	0	40	0	0	0	0	49102
SDC4	112725	236246	145081	78	0	96	73082	214653	117730	0	24	22	23137
NCOA3	101612	199044	161430	49	47	210	58885	158733	114697	98	147	64	154976
PIGT	246989	319340	346442	0	22	228	157506	297629	159886	0	0	0	40868
SEMG2	0	0	0	0	0	0	0	0	0	0	0	0	3159
MATN4	0	392	202	0	0	0	0	0	0	0	0	0	15085
NCOA5	40945	80591	45840	0	0	0	26745	52420	26720	0	50	0	28968
VAPB	131331	204071	240214	247	72	402	105885	224681	116464	44	88	91	61980
PARD6B	6564	8771	10349	0	85	22	3264	8207	2600	0	51	32	25252
ATP5E	199135	445098	394050	0	0	92	192404	465276	248771	26	112	0	6916
CHD6	90169	139866	182187	164	179	129	59427	126533	69745	24	47	85	216394
PLCG1	190042	336054	203875	67	45	295	91269	224365	94494	33	59	89	59842
TOX2	3411	9458	4035	0	0	0	1413	5296	2958	0	0	0	154753
SRSF6	185383	338659	247916	15	0	43	84183	231789	128023	0	30	75	6320
GDAP1L1	504	1362	1680	0	0	0	719	2403	1318	0	0	22	33819
GTSF1L	0	0	0	0	0	0	0	0	0	0	0	0	835
ARFGEF2	82482	162823	210057	219	31	500	89618	181191	121507	50	45	93	114804
ZNFX1	130601	224425	174153	0	29	237	75656	169588	80678	45	0	113	40481
ZNF831	404	1614	1009	34	0	0	0	202	0	0	0	0	135733
EDN3	0	0	0	0	0	0	0	181	0	0	0	0	25566
CSE1L	68871	144596	141466	0	30	235	60590	114656	72953	0	0	20	50715
TMEM189-UBE2V1	133722	223481	209096	39	22	89	102223	225002	119115	0	57	70	72514
RAB22A	40134	63171	47764	0	52	154	23110	57954	27104	98	44	80	57812
PTGIS	30047	45421	170683	47	78	350	52101	89049	29314	47	0	24	64273
STAU1	212260	327143	248983	104	0	364	104321	237471	130369	57	0	89	75029
CDH26	1183	2848	4755	0	0	0	2527	1904	1483	32	0	0	75585
SNAI1	16049	17362	3616	26	0	18	2450	2194	1609	19	19	57	5888
MOCS3	6244	11983	11917	0	22	98	4743	12889	3832	0	0	25	5106
STX16	150037	274725	220526	27	21	61	77485	209731	87235	0	0	23	28274
PMEPA1	107544	87654	92432	40	73	89	47979	83914	28304	22	0	20	63145
RNF114	82079	118097	96220	20	21	95	51933	122245	54399	20	45	22	17557
ANKRD60	0	0	0	0	0	0	0	0	49	0	0	0	10159
DDX27	55114	110162	70410	0	34	20	30174	73294	31923	0	0	0	24783
RBPJL	0	0	0	0	0	0	0	0	0	0	0	0	10974
SEMG1	0	0	0	0	0	0	0	0	0	0	0	0	2776
C20ORF85	0	0	0	0	0	0	0	0	0	0	0	0	10247
BCAS4	41017	97218	54947	0	0	74	34540	69802	30509	64	0	0	87783
KCNK15	1010	404	1010	0	0	37	0	453	606	0	0	0	6534
TP53TG5	1577	5473	4529	0	0	26	1411	5160	1602	0	0	0	35327
PCK1	12046	3005	1008	0	0	79	0	1010	0	0	0	0	7033
ZBP1	403	644	605	0	0	29	0	481	202	0	0	0	16731
NEURL2	6868	9150	9369	21	0	43	4811	14439	8368	49	0	35	2663
MAGEA10	0	0	0	0	0	0	0	0	0	0	0	0	5269
MTRR	44392	74337	60738	0	0	48	39950	84687	42214	49	0	0	54840
FASTKD3	5252	11702	12883	0	0	0	4550	11361	7392	0	0	0	9879
PEPD	33990	56436	52726	0	0	246	21174	57680	23014	0	0	0	134845
CHST8	403	606	202	0	0	0	0	606	403	0	0	0	151555
IQSEC2	23077	45963	22732	0	40	28	11066	28111	8845	0	0	42	95501
VAMP7	48463	90096	72387	40	0	74	24878	63616	35442	0	0	0	62477
IL9R	0	0	0	0	0	0	0	202	101	0	0	0	13237
XG	6128	3234	2332	0	0	0	281	1208	0	0	0	0	63878
STAMBP	48873	67875	56757	53	20	95	23615	55130	34533	0	0	0	44744
NAGK	47855	73014	87370	0	49	43	30961	58055	28973	0	30	77	15462
MCEE	17635	31411	35856	0	42	0	17192	37138	24736	22	0	0	20556
PAIP2B	83826	334263	405363	29	0	188	204295	375524	170658	0	83	62	44345
SNRNP27	52052	90858	76878	31	0	138	30680	75019	39472	0	0	0	12016
MPHOSPH10	43281	93701	73604	24	0	22	34148	76331	47630	35	20	0	19788
IL17C	0	0	0	0	0	0	0	0	0	0	0	0	1883
ATP8A1	29362	54285	101424	0	25	22	59415	117912	48720	0	28	0	248733
USP22	428466	590752	537743	89	159	1235	184177	502762	253605	49	86	262	44168
POF1B	6968	47365	18407	0	0	30	14765	19942	8885	0	0	0	102348
HIF3A	291798	974203	195392	0	70	115	160920	660859	196669	52	155	84	46388
ZNF576	15253	18358	13471	0	0	0	6382	18687	10571	50	30	0	4766
IRGC	79	0	0	0	0	0	0	0	0	0	0	0	4012
ZNF45	11889	27143	29273	23	47	0	13611	24622	12758	0	0	22	22650
LYPD3	202	190	1212	52941	67398	123316	606	1615	0	101365	69511	183671	4874
PSG8	0	0	0	0	0	0	0	0	0	0	0	0	103006
CEACAM8	0	404	0	0	0	0	0	0	0	0	0	0	14815
NDP	1197	1009	1212	0	0	0	202	0	202	0	0	0	24729
USP9X	181096	328316	314117	135	150	882	154123	344501	166347	45	260	302	150945
CRISP2	0	0	0	0	0	0	0	0	0	0	0	0	21233
F13A1	114786	168994	211444	115	195	1178	166642	217156	176482	641	416	1033	176929
GRM4	30	202	404	39	21	22	202	0	0	20	0	0	136978
TRERF1	8206	11089	21716	0	0	25	7108	12047	3836	24	0	32	227121
PACSIN1	15145	33576	11405	0	0	0	9684	37615	15505	0	0	20	69171
BTN2A2	6902	8635	16155	0	0	50	5411	9315	3029	0	0	26	11779
SIRT5	83739	136268	152378	42	22	42	71976	166543	88740	49	17	149	40630
MRS2	79647	124790	159596	0	0	117	79167	161168	93159	35	32	23	23287
WRNIP1	63673	116031	90045	0	0	0	44871	104656	42333	0	59	0	21539
RRP36	29247	52315	41423	0	0	0	18686	44625	25680	22	0	0	12512
BTN1A1	0	446	384	0	0	0	0	606	150	0	0	0	9202
SNRPC	94920	168626	147205	0	46	0	75111	185452	91277	0	0	25	16389
SLC17A3	73	202	0	0	0	0	28	0	0	0	0	0	49221
SLC17A1	0	202	0	0	0	0	0	0	0	0	0	0	49163
SERPINB6	239943	367187	288338	22	39	299	165150	384580	207780	34	0	51	24007
XPO5	45970	66192	53734	0	30	84	25028	62112	28124	45	0	0	53746
ABCC10	26849	41035	36528	0	0	25	14717	39702	17022	0	21	46	23065
HIST1H1D	0	195	201	0	25	12	0	0	0	24	21	0	666
PEX6	48690	71041	43333	0	0	0	34879	62233	23472	0	0	0	15351
NQO2	30762	98949	136498	70	0	131	59453	123647	70789	60	56	56	40883
AL365205.1	100234	190417	140703	47	23	87	63981	185130	85367	23	0	32	9793
OARD1	20937	72230	51368	28	0	20	16504	56027	22697	0	30	0	64161
UNC5CL	1858	8713	6639	0	0	0	2118	6586	1485	0	0	0	12307
AARS2	22588	39874	41121	0	0	42	17339	40635	17337	0	0	0	13673
HIST1H1A	0	0	3	0	0	10	0	202	3	0	0	0	648
ZNF391	1039	3028	4968	23	0	21	2795	5554	2136	0	30	23	29290
RPS10	115290	209913	156935	0	46	92	83551	206553	83278	21	0	0	8672
MOCS1	86155	145013	78401	21	0	41	52156	137757	84980	24	43	41	34974
HIST1H2BJ	1207	2579	1123	0	0	0	725	1340	0	0	0	0	6854
MED20	24990	30421	27311	0	38	58	15061	30509	27301	0	29	46	15786
OR2B6	0	0	0	0	0	0	0	101	0	0	0	0	942
TBCC	14284	33997	24280	0	0	129	10753	21220	13803	23	0	44	1616
SPDEF	303	404	774	0	0	0	0	404	825	0	0	0	18532
TCP11	0	404	0	0	0	0	0	173	0	0	0	0	30540
MAD2L1BP	24946	36068	39413	0	0	39	13081	42075	19316	0	0	44	11413
APOBEC2	81557	195272	284066	26	34	247	187973	310387	172880	22	0	35	11208
KLHDC3	101893	259572	180281	0	74	73	90787	268737	112810	0	0	21	7196
GNMT	123	4159	1180	0	0	0	2584	6541	6304	0	0	0	3123
DNAH8	200	0	430	0	0	0	404	200	0	0	0	0	315189
TREM1	962	6865	4217	0	0	0	404	1010	1008	0	0	0	18794
MEA1	24911	51303	37869	0	0	41	16886	45615	24340	50	0	68	1875
KLHL31	318684	303036	783190	160	76	668	470379	585133	469107	23	38	152	17808
COL21A1	86652	307265	184305	21	27	55	58225	128420	85623	43	24	0	337505
CDKN1A	499930	740098	129549	158	0	135	48895	158225	112394	0	25	0	10880
SOX4	16501	40953	52592	22	49	116	14101	18581	6008	99	67	208	5852
GLO1	142408	259440	221249	41	23	276	109417	238917	128972	0	25	42	27217
CPNE5	8011	15086	220461	28	21	0	144580	26743	78748	0	0	0	99228
KCNK17	0	202	139	0	0	0	202	404	0	0	0	0	15553
RREB1	76870	118009	127308	40	156	203	56177	118953	59338	24	83	129	144384
SSR1	125335	184665	161618	126	162	312	59591	143273	80877	36	94	312	79141
RIOK1	31007	46489	25392	0	21	0	9719	29907	15897	0	0	65	28542
NRN1	14413	34948	42684	23	0	26	15184	31052	8163	0	0	0	9607
SLC35B3	21674	26638	24996	0	0	23	9017	19327	9717	0	22	0	22416
RPP40	1451	2287	1010	0	0	0	2524	3602	3541	0	0	0	9332
ATXN1	73140	101594	150179	85	156	445	65715	106880	69898	156	196	25	462380
NUP153	77087	147992	131294	0	71	167	44347	109844	62761	0	66	0	91800
DEK	100862	248596	214534	31	72	172	93414	246251	77616	0	24	125	40956
EEF1E1	10516	17693	16641	0	21	24	7669	19802	10823	0	0	28	29219
CRISP1	0	0	0	0	0	0	20	0	0	0	0	0	42840
RUNX2	9841	10300	7205	0	0	0	1975	6231	3063	0	0	0	336193
OPN5	599	717	3952	0	0	0	1718	606	404	0	0	0	50799
GCM2	0	0	0	0	0	0	0	0	0	0	0	0	8719
LRRFIP1	354603	565849	461603	110	73	129	170532	476034	217515	24	39	127	186107
RAB17	10690	7042	2753	0	0	0	3310	6567	2817	0	0	0	27293
CXCL6	202	0	0	0	0	0	404	202	0	0	0	0	12568
EREG	1212	25448	1615	0	20	0	1790	101	1280	0	0	0	23609
TRIM51	0	0	0	0	0	0	0	0	0	0	0	0	8514
MYRF	1010	1391	3103	23	0	0	0	4115	606	0	0	0	35877
SCGB1D2	0	1615	579	0	0	0	1610	2623	1615	0	0	0	2599
SCGB2A1	0	101	0	0	0	0	0	7	0	0	0	0	5272
AHNAK	2748023	5937895	4369199	1084	861	6407	1981016	5366803	2304526	1093	1617	1361	122694
EMC3	100877	180228	136671	25	0	69	66145	143726	103333	0	26	0	48580
SSUH2	2452	6713	9845	0	0	0	2838	2773	1958	25	0	0	125641
WNT1	84	155	0	0	0	0	0	0	0	0	0	0	3224
SH3TC1	17510	35877	18089	0	32	52	11556	20507	11999	22	0	30	59732
CNOT1	189194	316464	357045	37	149	566	144189	305025	167973	68	82	84	109936
LRRC29	1818	2294	3873	0	20	28	1569	1825	1576	0	0	0	19910
BBS2	94915	167711	208574	70	112	113	52700	139622	64955	0	0	23	53448
MT1G	596	2513	101	0	0	0	0	500	0	0	0	0	1335
MT2A	176993	428613	64126	21	0	39	12667	46217	65987	0	77	76	1299
C16ORF70	37753	57831	42495	0	0	77	13307	44981	21106	25	0	0	38582
GOT2	805505	1263864	1277254	87	95	719	434385	1458340	692994	22	60	20	27227
DOK4	16945	19641	16682	0	38	0	9468	27006	9003	0	0	0	15406
PIWIL1	0	0	0	0	0	0	0	202	404	0	0	0	34751
GPR18	303	130	225	0	0	0	0	0	79	0	0	0	7031
CLYBL	24873	39280	53033	0	0	0	27880	49143	20274	0	0	0	290466
TMTC4	11186	9674	17186	0	0	44	10189	18458	7444	0	0	0	71167
RAP2A	75888	88500	66531	44	44	53	23472	62695	35811	53	26	1	34907
SLC10A2	0	89	0	0	0	0	0	0	0	0	0	0	22849
ABCC4	9846	14078	9093	0	0	0	7736	5156	6904	10	62	47	281618
EFNB2	46533	74967	105538	81	69	320	42148	85297	28104	86	25	41	45384
SOX21	0	0	0	0	0	0	0	0	0	0	0	0	2778
TM9SF2	143962	280267	258637	102	43	132	106593	227729	115033	36	53	91	62590
C17ORF53	444	2391	3294	0	0	0	674	606	1192	0	0	0	20571
KIF25	454	1202	622	0	0	0	295	1186	333	0	0	0	48849
IRF1	18010	110142	45272	53	97	179	18907	53788	13955	214	0	100	9190
UPF3B	12950	36639	27301	0	0	0	12239	27715	9923	0	0	0	47688
RNF113A	11147	16487	16654	0	0	0	7844	15116	8474	22	0	0	1353
SEPT6	48924	26747	49827	0	32	103	19180	32122	13448	42	0	20	77647
TMEM255A	404	2017	5951	0	0	0	2805	3030	808	0	0	0	52907
NDUFA1	215699	509989	432789	29	0	103	264354	527804	335959	22	51	34	5176
AMELX	0	0	0	0	0	0	0	0	0	0	0	0	7349
ATP5S	47458	75479	71099	22	40	51	20904	73708	41318	66	24	0	23233
BMP4	22065	60415	48854	0	25	77	8462	16162	4922	0	29	34	9026
PTGER2	1200	3119	1312	0	0	0	202	1593	1204	0	0	0	14302
FAM193A	48520	88317	69498	72	59	265	29817	65551	37234	129	73	49	195935
GRK4	11541	19326	16926	0	106	60	9964	23920	8938	0	48	124	77140
SOX9	80135	56949	32153	0	59	171	14991	120738	30047	42	25	176	5401
TEKT3	202	521	606	0	0	0	824	913	202	0	0	0	37831
MYH2	962	569	782	20	0	0	221	1207	168	0	0	0	28810
HS3ST3B1	9963	11419	16652	0	0	22	4536	9868	6561	0	0	80	48322
SLC25A35	16254	34083	33302	0	0	0	15301	40699	22130	0	50	5	7581
MRPS7	97622	122583	141511	0	36	50	67687	171390	109281	0	22	0	4700
GGA3	65234	99959	80184	0	0	108	37077	90734	38435	0	0	21	25765
ARMC7	9123	17023	11534	0	0	28	5062	10950	5294	21	0	45	20314
NUP85	38084	77438	55353	0	0	4	22231	61925	20573	0	68	69	30100
SLC25A19	6669	18757	14125	0	0	0	6516	16675	10476	0	0	0	16530
MIF4GD	19010	26947	27081	0	0	0	10700	29118	18336	0	0	0	5000
NT5C	17640	31007	21088	0	0	28	14546	31958	17961	0	51	0	1571
MSTO1	27811	34577	30101	0	0	28	10624	28858	17295	0	0	0	4763
C1ORF61	202	202	350	0	0	0	0	41	0	0	0	0	26452
TTF1	42151	73393	54005	20	0	40	18433	57074	27440	0	0	0	31304
GTF3C4	28628	67501	68620	22	89	72	23496	62004	29739	0	52	51	24921
DDX31	9712	15416	14064	22	23	27	4839	18943	9354	0	21	105	77405
BARHL1	0	0	0	0	0	0	0	0	0	0	0	0	8082
KIR2DL1	0	0	101	0	0	0	0	0	0	0	0	0	14512
PPP1R12C	431160	719562	536009	156	47	589	299961	508111	327938	81	95	136	26647
MBOAT7	21654	42715	35265	0	0	55	14530	29140	12830	22	22	12	16471
SRMS	0	0	0	0	0	0	0	69	0	0	0	0	6695
OPRL1	1414	1412	5545	0	0	0	200	1615	532	0	0	0	20471
SLC2A4RG	56484	71470	70917	0	0	56	51739	96261	52483	20	0	36	3645
NPBWR2	0	0	0	0	0	0	0	0	0	0	0	0	1352
FNDC11	201	0	202	0	0	0	0	404	0	0	0	0	8818
BHLHE23	0	0	0	0	0	0	0	0	0	0	0	0	1109
PPDPF	294515	489579	331238	120	0	380	117984	263297	155323	0	55	43	1483
IL1B	1413	4541	4336	0	0	0	202	1414	0	0	0	0	7153
PLGLB2	1483	1353	3414	0	0	0	904	3402	582	0	0	0	10707
IL37	0	0	0	0	0	0	0	0	0	0	0	0	5912
CHCHD5	10515	14908	16717	0	69	68	5434	19586	7063	25	20	82	5036
PAX8	3504	5803	6544	0	0	0	500	1326	1221	22	42	0	62954
INSIG2	17901	38319	38251	21	0	0	15070	34322	15107	0	0	20	22546
POLR1B	18076	30919	31871	20	52	69	8249	36692	16642	0	0	44	35236
CCDC93	136144	285057	266800	20	0	367	121086	276365	134213	76	23	80	98656
PSD4	5341	10283	9404	0	0	25	4602	6593	4946	21	48	0	52072
SLC25A23	256352	445378	333886	26	0	109	137836	406338	177553	41	35	74	29125
PSPN	1375	3918	2092	0	0	0	1427	3073	1653	0	0	0	3911
GTF2F1	67581	137098	97892	83	79	39	43435	112669	45258	0	21	0	14413
ALKBH7	68971	81185	88590	36	0	0	45683	122032	56496	25	0	0	2819
CLPP	48892	70179	77286	0	0	82	29263	77122	49398	0	0	0	7457
TNFSF9	0	0	0	0	0	44	0	197	0	0	54	0	4930
GRIA3	16519	8180	3026	0	0	0	404	3938	961	0	0	0	306763
THOC2	67287	114908	117558	23	25	93	58719	104054	48265	0	0	0	132496
MED1	53432	98455	122813	24	0	119	41282	82525	67962	0	33	22	47002
RPL23	398035	884150	627158	160	138	910	310396	791980	354093	249	196	221	5979
AC046185.1	39722	97234	71004	46	0	26	32419	66609	41477	0	47	0	49253
ATG4C	7996	18026	16934	0	26	65	7867	12967	7641	0	0	0	81379
CD70	0	63	0	0	0	0	0	0	0	0	0	0	20921
C3	160468	946330	441416	33	132	1257	279809	829276	343721	377	407	241	52859
SH2D3A	2347	4759	4106	0	0	0	1969	7829	1101	0	0	0	15429
TRIP10	179642	309358	231287	0	22	0	140754	333909	133829	65	0	43	13602
GPR108	35524	74330	52020	0	0	79	20623	49426	25288	0	0	132	7690
TNFSF14	101	5522	1212	0	0	0	2429	4282	574	0	0	0	9336
